Time,Type,Page,IP,Country,Dwell,Analytics Fired
07:42:34,DIRECT,home,213.220.62.62,NL,2.1s,11
07:42:39,ORGANIC,home,45.186.6.104,EC,152.4s,12
07:46:36,ORGANIC,home,103.30.29.204,BD,260.2s,8
07:52:31,ORGANIC,home,45.70.236.194,EC,341.1s,12
07:53:57,ORGANIC,home,36.70.225.20,ID,190.5s,12
07:58:26,ORGANIC,home,116.80.49.170,JP,238.5s,12
08:00:40,ORGANIC,home,36.70.101.226,ID,170.8s,12
08:03:18,DIRECT,home,116.80.49.170,JP,16.5s,12
08:04:15,ORGANIC,home,205.209.118.30,US,249.8s,1
08:04:33,DIRECT,home,36.70.101.226,ID,6.7s,12
08:07:43,ORGANIC,home,103.156.14.18,ID,246.7s,8
08:07:56,ORGANIC,home,103.178.87.50,ID,255.1s,8
08:08:26,DIRECT,home,38.194.246.34,MX,34.6s,7
08:10:24,DIRECT,about,103.156.14.18,ID,0.8s,1
08:11:43,ORGANIC,home,186.235.123.3,BR,372.8s,8
08:12:00,ORGANIC,home,213.220.62.62,NL,233.0s,12
08:15:15,DIRECT,home,213.220.62.62,NL,2.0s,12
08:16:40,ORGANIC,home,36.84.18.80,ID,219.1s,10
08:17:02,ORGANIC,home,116.80.49.169,JP,191.3s,10
08:21:21,ORGANIC,home,116.99.49.187,VN,198.0s,10
08:21:31,ORGANIC,home,138.124.53.25,DE,216.6s,12
08:21:33,DIRECT,home,116.80.49.169,JP,13.1s,12
08:25:42,ORGANIC,home,45.186.6.104,EC,274.5s,12
08:28:06,ORGANIC,home,185.115.75.43,CZ,276.9s,12
08:28:47,ORGANIC,home,116.80.49.169,JP,243.3s,12
08:30:30,ORGANIC,home,1.231.81.166,KR,171.8s,12
08:30:39,ORGANIC,home,116.80.49.161,JP,176.7s,12
08:32:07,ORGANIC,home,205.209.118.30,US,192.5s,1
08:34:31,DIRECT,contact,205.209.118.30,US,5.3s,1
08:36:40,ORGANIC,home,103.116.82.146,ID,230.3s,8
08:41:18,ORGANIC,home,163.176.168.94,BR,167.8s,1
08:41:58,ORGANIC,home,157.20.244.24,ID,258.6s,10
08:42:14,ORGANIC,home,103.163.80.101,ID,305.1s,12
08:43:58,ORGANIC,home,45.136.130.188,US,134.3s,8
08:44:25,ORGANIC,home,45.136.131.47,US,290.3s,12
08:44:31,DIRECT,home,163.176.168.94,BR,0.7s,1
08:46:51,DIRECT,about,45.136.131.47,US,0.7s,1
08:49:06,ORGANIC,home,185.115.75.43,CZ,152.0s,12
08:53:04,ORGANIC,home,116.80.96.111,JP,202.8s,12
08:54:20,ORGANIC,home,148.81.121.5,PL,226.4s,8
08:55:16,ORGANIC,home,158.172.153.36,BO,257.4s,10
08:55:51,DIRECT,home,16.78.115.88,ID,5.4s,1
08:57:31,DIRECT,home,158.172.153.36,BO,3.9s,8
08:59:01,ORGANIC,home,213.220.62.62,NL,237.6s,12
09:01:49,ORGANIC,home,137.184.0.30,US,151.1s,1
09:03:30,ORGANIC,home,116.80.49.159,JP,130.0s,12
09:12:48,ORGANIC,home,160.119.228.146,ZA,365.3s,12
09:15:34,ORGANIC,home,170.245.132.86,PY,320.4s,10
09:15:34,DIRECT,home,36.84.18.80,ID,24.7s,12
09:18:16,ORGANIC,home,185.191.236.162,CH,246.3s,12
